,address,metro,mt_dist,parking,rooms,floor_bld,floor,square,price_p_m,price,lat,lng
167,"Москва, Верхняя Красносельская улица, 19с2, Красносельский, Москва",Красносельская,197.0,True,2.0,14.0,6.0,57.0,2105.0,120000.0,55.78158029999999,37.6658138
168,"Москва, 1-й Красногвардейский проезд, 21с2, Пресненский, Москва",Международная,106.0,False,2.0,80.0,30.0,100.0,2940.0,294000.0,55.7497139,37.53422
169,"Москва, Пресненская набережная, 8с1, Пресненский, Москва",Деловой центр,223.0,True,3.0,76.0,22.0,220.0,1818.0,400000.0,55.7480754,37.5402587
170,"Москва, 1-й Красногвардейский проезд, 22, Пресненский, Москва",Деловой центр,311.0,False,2.0,77.0,19.0,62.0,2742.0,170000.0,55.7514248,37.5356575
171,"Москва, 1-й Красногвардейский проезд, вл17-18, Пресненский, Москва",Международная,282.0,False,2.0,63.0,17.0,65.0,2615.0,170000.0,55.7514032,37.53526799999999
172,"Москва, 1-й Красногвардейский проезд, 15, Пресненский, Москва",Деловой центр,154.0,False,2.0,80.0,45.0,80.0,2738.0,219000.0,55.75042639999999,37.5391235
173,"Москва, Новомарьинская улица, 15, Марьино, Москва",Братиславская,861.0,False,1.0,18.0,3.0,40.0,925.0,37000.0,55.6571779,37.763393
174,"Москва, Большая Грузинская улица, вл69-71, Тверской, Москва",Белорусская,438.0,False,3.0,9.0,3.0,140.0,3000.0,420000.0,55.7686857,37.5804104
175,"Москва, улица Мусы Джалиля, Зябликово, Москва",Шипиловская,86.0,False,1.0,22.0,8.0,38.0,921.0,35000.0,55.6214315,37.743071
176,"Москва, Дмитровское шоссе, 122Гк1, Северный, Москва",Алтуфьево,3500.0,False,3.0,4.0,3.0,135.0,889.0,120000.0,55.9319438,37.5469833
177,"Москва, Строгинский бульвар, 4, Строгино, Москва",Строгино,421.0,False,1.0,22.0,14.0,39.0,1410.0,55000.0,55.8042837,37.3967948
178,"Москва, Веерная улица, 30к6, Очаково-Матвеевское, Москва",Раменки,2000.0,True,1.0,15.0,13.0,44.0,1591.0,70000.0,55.7099072,37.4768696
179,"Москва, Старопименовский переулок, 10, Тверской, Москва",Маяковская,378.0,True,3.0,12.0,4.0,125.0,2640.0,330000.0,55.76932499999999,37.602262
180,"Москва, Минская улица, 1Гк2, Раменки, Москва",Ломоносовский проспект,1200.0,True,5.0,22.0,15.0,242.0,1860.0,450000.0,55.7131504,37.5011405
181,"Москва, Куркинское шоссе, 42, Куркино, Москва",Планерная,3800.0,False,5.0,4.0,4.0,200.0,800.0,160000.0,55.885998,37.396068
182,"Москва, улица Пресненский Вал, 14к4, Пресненский, Москва",Улица 1905 года,454.0,True,2.0,14.0,8.0,60.0,5000.0,300000.0,55.7665574,37.56713939999999
183,"Москва, улица Мусы Джалиля, 8к2, Зябликово, Москва",Шипиловская,763.0,False,1.0,22.0,7.0,35.0,1000.0,35000.0,55.6270631,37.7368785
184,"Москва, Ленинградский проспект, 36с31, Аэропорт, Москва",Динамо,612.0,False,3.0,10.0,6.0,94.0,3723.0,350000.0,55.7883316,37.5678188
185,"Москва, Ярославское шоссе, 116к1, Ярославский, Москва",Бабушкинская,2800.0,False,1.0,16.0,16.0,40.0,950.0,38000.0,55.8667279,37.7081283
186,"Москва, улица Покрышкина, 8к1, Тропарёво-Никулино, Москва",Юго-Западная,890.0,True,3.0,15.0,10.0,142.5,1368.0,195000.0,55.6657863,37.4706945
187,"Москва, Пятницкое шоссе, 21, Митино, Москва",Митино,613.0,False,1.0,25.0,18.0,40.5,1296.0,52500.0,55.8478297,37.3700883
188,"Москва, 1-й Красногвардейский проезд, 21с1, Пресненский, Москва",Международная,176.0,False,2.0,86.0,36.0,70.0,2557.0,179000.0,55.7500459,37.5340715
189,"Москва, 1-й Красногвардейский проезд, 22с2, Пресненский, Москва",Международная,357.0,False,1.0,71.0,45.0,50.0,4980.0,249000.0,55.7514248,37.5356575
190,"Москва, улица Народного Ополчения, 11, Хорошёво-Мнёвники, Москва",Хорошево,2100.0,True,3.0,24.0,4.0,60.0,1750.0,105000.0,55.7723397,37.4742695
191,"ул Новокосинская Д.14 КОРП.7, Новокосино, Москва",Новокосино,848.0,False,2.0,22.0,2.0,58.0,914.0,52990.0,55.7384417,37.8574383
192,"Москва, Нижняя Первомайская улица, 19А, Измайлово, Москва",Первомайская,348.0,False,2.0,5.0,1.0,48.0,833.0,40000.0,55.79142599999999,37.7976839
193,"Москва, Нагорная улица, 36, Котловка, Москва",Нагорная,1100.0,False,2.0,5.0,4.0,45.0,1111.0,50000.0,55.67207699999999,37.593827
194,"Москва, Верхняя Красносельская улица, 19с2, Красносельский, Москва",Красносельская,197.0,True,2.0,14.0,6.0,57.0,2105.0,120000.0,55.78158029999999,37.6658138
195,"Москва, 1-й Красногвардейский проезд, 21с2, Пресненский, Москва",Международная,106.0,False,2.0,80.0,30.0,100.0,2940.0,294000.0,55.7497139,37.53422
196,"Москва, Пресненская набережная, 8с1, Пресненский, Москва",Деловой центр,223.0,True,3.0,76.0,22.0,220.0,1818.0,400000.0,55.7480754,37.5402587
197,"Москва, 1-й Красногвардейский проезд, 22, Пресненский, Москва",Деловой центр,311.0,False,2.0,77.0,19.0,62.0,2742.0,170000.0,55.7514248,37.5356575
198,"Москва, 1-й Красногвардейский проезд, вл17-18, Пресненский, Москва",Международная,282.0,False,2.0,63.0,17.0,65.0,2615.0,170000.0,55.7514032,37.53526799999999
199,"Москва, 1-й Красногвардейский проезд, 15, Пресненский, Москва",Деловой центр,154.0,False,2.0,80.0,45.0,80.0,2738.0,219000.0,55.75042639999999,37.5391235
200,"Москва, Новомарьинская улица, 15, Марьино, Москва",Братиславская,861.0,False,1.0,18.0,3.0,40.0,925.0,37000.0,55.6571779,37.763393
201,"Москва, Большая Грузинская улица, вл69-71, Тверской, Москва",Белорусская,438.0,False,3.0,9.0,3.0,140.0,3000.0,420000.0,55.7686857,37.5804104
202,"Москва, улица Мусы Джалиля, Зябликово, Москва",Шипиловская,86.0,False,1.0,22.0,8.0,38.0,921.0,35000.0,55.6214315,37.743071
203,"Москва, Дмитровское шоссе, 122Гк1, Северный, Москва",Алтуфьево,3500.0,False,3.0,4.0,3.0,135.0,889.0,120000.0,55.9319438,37.5469833
204,"Москва, Строгинский бульвар, 4, Строгино, Москва",Строгино,421.0,False,1.0,22.0,14.0,39.0,1410.0,55000.0,55.8042837,37.3967948
205,"Москва, Веерная улица, 30к6, Очаково-Матвеевское, Москва",Раменки,2000.0,True,1.0,15.0,13.0,44.0,1591.0,70000.0,55.7099072,37.4768696
206,"Москва, Старопименовский переулок, 10, Тверской, Москва",Маяковская,378.0,True,3.0,12.0,4.0,125.0,2640.0,330000.0,55.76932499999999,37.602262
207,"Москва, Минская улица, 1Гк2, Раменки, Москва",Ломоносовский проспект,1200.0,True,5.0,22.0,15.0,242.0,1860.0,450000.0,55.7131504,37.5011405
208,"Москва, Куркинское шоссе, 42, Куркино, Москва",Планерная,3800.0,False,5.0,4.0,4.0,200.0,800.0,160000.0,55.885998,37.396068
209,"Москва, улица Пресненский Вал, 14к4, Пресненский, Москва",Улица 1905 года,454.0,True,2.0,14.0,8.0,60.0,5000.0,300000.0,55.7665574,37.56713939999999
210,"Москва, улица Мусы Джалиля, 8к2, Зябликово, Москва",Шипиловская,763.0,False,1.0,22.0,7.0,35.0,1000.0,35000.0,55.6270631,37.7368785
211,"Москва, Ленинградский проспект, 36с31, Аэропорт, Москва",Динамо,612.0,False,3.0,10.0,6.0,94.0,3723.0,350000.0,55.7883316,37.5678188
212,"Москва, Ярославское шоссе, 116к1, Ярославский, Москва",Бабушкинская,2800.0,False,1.0,16.0,16.0,40.0,950.0,38000.0,55.8667279,37.7081283
213,"Москва, улица Покрышкина, 8к1, Тропарёво-Никулино, Москва",Юго-Западная,890.0,True,3.0,15.0,10.0,142.5,1368.0,195000.0,55.6657863,37.4706945
214,"Москва, Пятницкое шоссе, 21, Митино, Москва",Митино,613.0,False,1.0,25.0,18.0,40.5,1296.0,52500.0,55.8478297,37.3700883
215,"Москва, 1-й Красногвардейский проезд, 21с1, Пресненский, Москва",Международная,176.0,False,2.0,86.0,36.0,70.0,2557.0,179000.0,55.7500459,37.5340715
216,"Москва, 1-й Красногвардейский проезд, 22с2, Пресненский, Москва",Международная,357.0,False,1.0,71.0,45.0,50.0,4980.0,249000.0,55.7514248,37.5356575
217,"Москва, улица Народного Ополчения, 11, Хорошёво-Мнёвники, Москва",Хорошево,2100.0,True,3.0,24.0,4.0,60.0,1750.0,105000.0,55.7723397,37.4742695
218,"ул Новокосинская Д.14 КОРП.7, Новокосино, Москва",Новокосино,848.0,False,2.0,22.0,2.0,58.0,914.0,52990.0,55.7384417,37.8574383
219,"Москва, Нижняя Первомайская улица, 19А, Измайлово, Москва",Первомайская,348.0,False,2.0,5.0,1.0,48.0,833.0,40000.0,55.79142599999999,37.7976839
220,"Москва, Нагорная улица, 36, Котловка, Москва",Нагорная,1100.0,False,2.0,5.0,4.0,45.0,1111.0,50000.0,55.67207699999999,37.593827
221,"Москва, Верхняя Красносельская улица, 19с2, Красносельский, Москва",Красносельская,197.0,True,2.0,14.0,6.0,57.0,2105.0,120000.0,55.78158029999999,37.6658138
222,"Москва, 1-й Красногвардейский проезд, 21с2, Пресненский, Москва",Международная,106.0,False,2.0,80.0,30.0,100.0,2940.0,294000.0,55.7497139,37.53422
223,"Москва, Пресненская набережная, 8с1, Пресненский, Москва",Деловой центр,223.0,True,3.0,76.0,22.0,220.0,1818.0,400000.0,55.7480754,37.5402587
224,"Москва, 1-й Красногвардейский проезд, 22, Пресненский, Москва",Деловой центр,311.0,False,2.0,77.0,19.0,62.0,2742.0,170000.0,55.7514248,37.5356575
225,"Москва, 1-й Красногвардейский проезд, вл17-18, Пресненский, Москва",Международная,282.0,False,2.0,63.0,17.0,65.0,2615.0,170000.0,55.7514032,37.53526799999999
226,"Москва, 1-й Красногвардейский проезд, 15, Пресненский, Москва",Деловой центр,154.0,False,2.0,80.0,45.0,80.0,2738.0,219000.0,55.75042639999999,37.5391235
227,"Москва, Новомарьинская улица, 15, Марьино, Москва",Братиславская,861.0,False,1.0,18.0,3.0,40.0,925.0,37000.0,55.6571779,37.763393
228,"Москва, Большая Грузинская улица, вл69-71, Тверской, Москва",Белорусская,438.0,False,3.0,9.0,3.0,140.0,3000.0,420000.0,55.7686857,37.5804104
